id,username,timestamp,gps_lat_increment,gps_long_increment,gps_alt_increment,gps_speed,gps_bearing,gps_accuracy,activity_id,activity
4006559,11,1570533709.356,0.0,0.0,0.0,0.0,0.0,18.9109992980957,-499,Walking
5370208,11,1570541054.208,0.000138575451693157,6.48818285444719e-05,17.4202436404012,0.86678272485733,231.216094970703,32.0,-497,Walking
5370386,11,1570541055.874,0.000236817313435722,3.16172110750301e-05,6.85117173448643,1.29602837562561,237.170181274414,6.0,-497,Walking
5371457,11,1570541066.015,6.82137758829526e-05,0.00015942703650218,2.97397740376215,1.47778975963593,223.478317260742,6.0,-497,Walking
5372511,11,1570541076.003,9.23332005839939e-05,0.000127414269773141,0.859707058586821,1.30962419509888,223.673675537109,6.0,-497,Walking
5373568,11,1570541086.01,2.73585278520727e-05,0.000161094752009205,0.606006859261967,1.35182869434357,256.292205810547,2.0,-497,Walking
5374624,11,1570541096.017,9.71982694437656e-05,0.000455964902094763,14.7487885979619,0.0,0.0,20.7900009155273,-497,Walking
5374718,11,1570541096.896,0.000109338363138534,0.000296834821718051,14.3856672857573,1.29905235767365,250.043090820312,2.0,-497,Walking
5375682,11,1570541106.018,3.92611835948742e-05,0.000143457493191335,0.436141038063823,1.27977156639099,262.253326416016,2.0,-497,Walking
5376736,11,1570541116.003,5.34382319514748e-05,0.000154525048735366,0.376286087497945,1.18193769454956,248.592926025391,2.0,-497,Walking
5377793,11,1570541126.006,9.82377786868938e-05,9.51522797922877e-05,16.7732447378322,0.0,0.0,18.4790000915527,-497,Walking
5377859,11,1570541126.625,0.000143055439593809,6.79557125451424e-05,16.4704288457598,1.32423138618469,255.507904052734,2.0,-497,Walking
5378851,11,1570541136.013,4.11835227822621e-05,0.000163815877616713,0.386767403385193,1.4195054769516,264.741577148438,2.0,-497,Walking
5379907,11,1570541146.015,2.53119495710052e-05,0.000141435830345316,0.50264970394467,1.41213274002075,273.858184814453,3.0,-497,Walking
5380962,11,1570541156.001,3.44509119472036e-05,0.000117392579491948,14.0810117384299,0.0,0.0,19.9950008392334,-497,Walking
5381167,11,1570541157.941,0.000189357475179008,1.92342730880313e-05,13.4874617146417,1.47612714767456,192.318161010742,3.0,-497,Walking
5382019,11,1570541166.005,2.89330391680664e-05,0.000274754217725715,0.523880942059847,1.4767861366272,275.876129150391,3.0,-497,Walking
5383076,11,1570541176.014,7.57122134160682e-05,0.000161074020962104,0.529307275394302,1.33964681625366,205.702224731445,3.0,-497,Walking
5384130,11,1570541186.0,0.000185455887013575,1.83399718700628e-06,0.444085678120246,1.58384537696838,177.006103515625,4.0,-497,Walking
5385187,11,1570541196.002,6.76925364402337e-05,0.000208427962785862,105.190184767309,0.0,0.0,50.0089988708496,-497,Walking
